Rank,Universitas,Negara,Score
164Top 0.8%,Icahn School of Medicine at Mount Sinai,USA,79.7
165Top 0.9%,Tokyo Institute of Technology,Japan,79.6
166Top 0.9%,University of Montpellier,France,79.6
167Top 0.9%,Rice University,USA,79.6
168Top 0.9%,University of Gothenburg,Sweden,79.6
169Top 0.9%,University of Massachusetts Amherst,USA,79.5
170Top 0.9%,Wuhan University,China,79.5
171Top 0.9%,University of Padova,Italy,79.5
172Top 0.9%,University of Hamburg,Germany,79.5
173Top 0.9%,Chinese University of Hong Kong,China,79.4
174Top 0.9%,McMaster University,Canada,79.4
175Top 0.9%,Tianjin University,China,79.4
176Top 0.9%,Technion – Israel Institute of Technology,Israel,79.4
177Top 0.9%,University of Warwick,United Kingdom,79.3
178Top 0.9%,Norwegian University of Science and Technology,Norway,79.3
179Top 0.9%,Xiamen University,China,79.3
180Top 0.9%,University of Milan,Italy,79.3
181Top 0.9%,Wageningen University & Research,Netherlands,79.2
182Top 0.9%,Iowa State University,USA,79.2
183Top 0.9%,University of Notre Dame,USA,79.2
184Top 0.9%,Harbin Institute of Technology,China,79.2
185Top 1%,University of Bologna,Italy,79.1
186Top 1%,Arizona State University,USA,79.1
187Top 1%,University of Cologne,Germany,79.1
188Top 1%,Western University,Canada,79.1
189Top 1%,University of Alabama at Birmingham,USA,79.0
190Top 1%,Autonomous University of Barcelona,Spain,79.0
191Top 1%,Shandong University,China,79.0
192Top 1%,University of Lausanne,Switzerland,79.0
193Top 1%,Sichuan University,China,78.9
194Top 1%,Sungkyunkwan University,South Korea,78.9
195Top 1%,University of Calgary,Canada,78.9
196Top 1%,North Carolina State University,USA,78.9
197Top 1%,Technical University of Denmark,Denmark,78.8
198Top 1%,University of Vienna,Austria,78.8
199Top 1%,University of Connecticut,USA,78.8
200Top 1%,Tongji University,China,78.8
201Top 1%,Stony Brook University,USA,78.7
202Top 1%,University of Lisbon,Portugal,78.7
203Top 1%,Central South University,China,78.7
204Top 1%,University of Waterloo,Canada,78.7
205Top 1%,University of Münster,Germany,78.7
206Top 1.1%,South China University of Technology,China,78.6
207Top 1.1%,University of Adelaide,Australia,78.6
208Top 1.1%,London School of Hygiene & Tropical Medicine,United Kingdom,78.6
209Top 1.1%,University of Kansas,USA,78.6
210Top 1.1%,Nankai University,China,78.5
211Top 1.1%,Institut national du service public,France,78.5
212Top 1.1%,University of Ottawa,Canada,78.5
213Top 1.1%,University of Georgia,USA,78.5
214Top 1.1%,RWTH Aachen University,Germany,78.5
215Top 1.1%,Hong Kong University of Science and Technology,China,78.4
216Top 1.1%,Johannes Gutenberg University Mainz,Germany,78.4
217Top 1.1%,Lomonosov Moscow State University,Russia,78.4
218Top 1.1%,Jilin University,China,78.4
219Top 1.1%,Technical University of Dresden,Germany,78.3
220Top 1.1%,Waseda University,Japan,78.3
221Top 1.1%,Université catholique de Louvain,Belgium,78.3
222Top 1.1%,Southeast University,China,78.3
223Top 1.1%,The Scripps Research Institute,USA,78.3
224Top 1.1%,"University of Tennessee, Knoxville",USA,78.2
225Top 1.1%,Georgetown University,USA,78.2
226Top 1.2%,University of Würzburg,Germany,78.2
227Top 1.2%,University of Turin,Italy,78.2
228Top 1.2%,KAIST,South Korea,78.2
229Top 1.2%,University of Erlangen–Nuremberg,Germany,78.1
230Top 1.2%,University of Missouri–Columbia,USA,78.1
231Top 1.2%,Hokkaido University,Japan,78.1
232Top 1.2%,Kiel University,Germany,78.1
233Top 1.2%,"Soochow University, China",China,78.1
234Top 1.2%,Université libre de Bruxelles,Belgium,78.0
235Top 1.2%,University of Naples Federico II,Italy,78.0
